timestamp;vehicle_gps_position.lat;vehicle_gps_position.lon;vehicle_gps_position.alt;vehicle_gps_position.eph;vehicle_gps_position.epv;vehicle_gps_position.hdop;vehicle_gps_position.vdop;vehicle_gps_position.noise_per_ms;vehicle_gps_position.satellites_used;vehicle_air_data.baro_alt_meter;vehicle_local_position.dist_bottom;vehicle_local_position.z
260980123;473064510;388901522;82597;0.99700004;1.205;0.69;0.84999996;99;18;115.02546;2.7998724;-0.29572535
261069955;473064510;388901522;82597;0.99700004;1.205;0.69;0.84999996;99;18;115.02546;2.7970645;-0.29291746
261179920;473064546;388901524;82594;0.9990001;1.2060001;0.69;0.84999996;99;18;115.2157;2.7927537;-0.28860655
261280013;473064546;388901524;82594;0.9990001;1.2060001;0.69;0.84999996;99;18;115.2157;2.791122;-0.2869749
261380113;473064546;388901524;82594;0.9990001;1.2060001;0.69;0.84999996;99;18;114.96468;2.791971;-0.28782386
261479944;473064546;388901524;82594;0.9990001;1.2060001;0.69;0.84999996;99;18;114.96468;2.7932675;-0.2891204
261579969;473064546;388901524;82594;0.9990001;1.2060001;0.69;0.84999996;99;18;115.06773;2.795342;-0.2911949
261679992;473064600;388901525;82680;1.003;1.2080001;0.69;0.84999996;99;18;115.06773;2.7974892;-0.29334214
261779832;473064600;388901525;82680;1.003;1.2080001;0.69;0.84999996;99;18;115.04659;2.8002272;-0.29608002
261879973;473064600;388901525;82680;1.003;1.2080001;0.69;0.84999996;99;18;115.04659;2.8032434;-0.29909626
261979965;473064600;388901525;82680;1.003;1.2080001;0.69;0.84999996;99;18;114.98318;2.8081136;-0.30396658
262079829;473064600;388901525;82680;1.003;1.2080001;0.69;0.84999996;99;18;114.98318;2.8134253;-0.30927822
262179827;473064637;388901526;82722;1.005;1.21;0.69;0.84999996;99;18;115.25798;2.820777;-0.3166298
262279869;473064637;388901526;82722;1.005;1.21;0.69;0.84999996;99;18;115.25798;2.8279052;-0.32375818
